x,y,z,date
0.52,0.91,0.04,2018-12-11 10:52:16.501866
0.52,0.91,0.1,2018-12-11 10:52:16.524347
0.45,0.86,0.15,2018-12-11 10:52:16.545981
0.39,0.86,0.17,2018-12-11 10:52:16.567787
0.41,0.92,0.04,2018-12-11 10:52:16.589594
0.45,0.92,0.06,2018-12-11 10:52:16.611460
0.44,0.85,0.15,2018-12-11 10:52:16.633493
0.33,0.87,0.16,2018-12-11 10:52:16.655109
0.37,0.98,0.07,2018-12-11 10:52:16.676248
0.41,0.94,0.04,2018-12-11 10:52:16.698387
0.44,0.76,0.09,2018-12-11 10:52:16.720221
0.47,0.59,0.29,2018-12-11 10:52:16.741783
0.54,0.34,0.4,2018-12-11 10:52:16.763726
1.04,0.28,0.52,2018-12-11 10:52:16.785456
1.98,0.06,0.57,2018-12-11 10:52:16.807148
2.09,0.16,0.79,2018-12-11 10:52:16.828925
0.99,0.41,0.13,2018-12-11 10:52:16.850397
0.43,0.21,1.18,2018-12-11 10:52:16.872253
1.78,1.2,1.9,2018-12-11 10:52:16.894323
2.18,0.11,0.45,2018-12-11 10:52:16.916053
3.64,1.09,1.06,2018-12-11 10:52:16.937867
2.36,0.15,0.22,2018-12-11 10:52:16.959674
1.57,1.07,0.2,2018-12-11 10:52:16.981463
0.73,1.1,0.43,2018-12-11 10:52:17.002764
0.19,0.99,0.47,2018-12-11 10:52:17.025459
0.45,0.84,0.2,2018-12-11 10:52:17.046934
0.54,0.51,0.07,2018-12-11 10:52:17.068465
0.53,0.46,0.33,2018-12-11 10:52:17.089974
0.53,0.54,0.29,2018-12-11 10:52:17.111780
0.44,0.7,0.18,2018-12-11 10:52:17.133903
0.54,0.77,0.12,2018-12-11 10:52:17.155532
0.55,0.81,0.11,2018-12-11 10:52:17.177301
0.46,0.87,0.01,2018-12-11 10:52:17.198927
0.41,1.01,0.01,2018-12-11 10:52:17.220718
0.33,1.0,0.0,2018-12-11 10:52:17.242569
0.26,0.92,0.07,2018-12-11 10:52:17.264404
0.28,0.98,0.03,2018-12-11 10:52:17.285970
0.3,0.94,0.07,2018-12-11 10:52:17.307874
0.35,0.9,0.12,2018-12-11 10:52:17.329436
0.52,0.89,0.14,2018-12-11 10:52:17.351016
0.56,0.88,0.12,2018-12-11 10:52:17.372963
0.53,0.91,0.05,2018-12-11 10:52:17.396747
0.51,0.92,0.01,2018-12-11 10:52:17.418356
0.47,0.87,0.03,2018-12-11 10:52:17.440462
0.48,0.79,0.09,2018-12-11 10:52:17.462236
0.47,0.69,0.1,2018-12-11 10:52:17.484312
0.51,0.55,0.13,2018-12-11 10:52:17.505840
0.65,0.41,0.31,2018-12-11 10:52:17.527506
1.1,0.34,0.52,2018-12-11 10:52:17.549357
2.28,0.14,0.59,2018-12-11 10:52:17.571207
2.0,0.31,0.5,2018-12-11 10:52:17.593138
1.22,0.91,0.51,2018-12-11 10:52:17.614884
0.88,0.75,1.46,2018-12-11 10:52:17.636661
2.19,1.61,2.36,2018-12-11 10:52:17.658094
3.07,1.11,0.64,2018-12-11 10:52:17.679668
3.52,1.21,0.19,2018-12-11 10:52:17.701303
2.93,0.02,0.11,2018-12-11 10:52:17.723018
2.01,1.13,0.23,2018-12-11 10:52:17.749184
0.69,0.99,0.27,2018-12-11 10:52:17.775644
0.14,0.82,0.13,2018-12-11 10:52:17.797344
